# `#print axioms` manifest — k-Sum Lean gap-closure batch 1, 2026-07-31
# Source: full `lake build` transcript of the same run (build.log), line-unwrapped.
# Standard axioms only: propext, Classical.choice, Quot.sound.
# records: 237   outside the three standard axioms: 0

KSUM.A2.nsmul_surjective : [propext, Classical.choice, Quot.sound]
KSUM.A2.Claim : [propext, Classical.choice, Quot.sound]
KSUM.A2.composition : [propext, Classical.choice, Quot.sound]
KSUM.B1.Claim : [propext, Classical.choice, Quot.sound]
KSUM.B1.composition_via_A1_inputs : [propext, Classical.choice, Quot.sound]
KSUM.B1.holds : [propext, Classical.choice, Quot.sound]
KSUM.B1.composition_via_A1 : [propext, Classical.choice, Quot.sound]
KSUM.B2.DonorClaim : [propext, Classical.choice, Quot.sound]
KSUM.B2.demoDonor : [propext, Classical.choice, Quot.sound]
KSUM.B2.Claim : [propext, Classical.choice, Quot.sound]
KSUM.B2.composition : [propext, Classical.choice, Quot.sound]
KSUM.B2.composition_with_donor : [propext, Classical.choice, Quot.sound]
KSUM.B4a.Claim : [propext, Classical.choice, Quot.sound]
KSUM.B4.B4bClaim : [propext, Classical.choice, Quot.sound]
KSUM.B4.Claim : [propext, Classical.choice, Quot.sound]
KSUM.B4.composition : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.sum_append_split : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.card_append_split : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.mem_coreIdx : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.card_coreIdx : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.sum_coreIdx : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.coreVecAt_zero : [propext, Quot.sound]
KsumAudit.KFloor.sum_coreIdxAt : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.core_wellformed : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.encode_cyc_eq_intCast : [propext, Quot.sound]
KsumAudit.KFloor.abs_signedVal_le : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.abs_live_sum_le : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.live_sum_cast : [propext, Quot.sound]
KsumAudit.KFloor.core_reduction_at : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.core_reduction : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.window_odd_length : [propext, Quot.sound]
KsumAudit.KFloor.window_even_length : [propext, Quot.sound]
KsumAudit.KFloor.exists_shift_into_window : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_q0_three : [propext]
KsumAudit.KFloor.witness_coreUnit : (none)
KsumAudit.KFloor.witness_even_pos : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_even_neg : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_odd_pos : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_odd_neg : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_coreVecAt_shifted : [propext, Quot.sound]
KsumAudit.KFloor.witness_even_pos_at : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_even_neg_at : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_odd_pos_at : [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_odd_neg_at : [propext, Classical.choice, Quot.sound]
KSUM.Support.demoEmbed : [propext, Classical.choice, Quot.sound]
KSUM.Support.demoEmbed_q : [propext, Classical.choice, Quot.sound]
KSUM.B4.maxAlph : [propext, Classical.choice, Quot.sound]
KSUM.B4.sandwichQ : [propext, Classical.choice, Quot.sound]
KSUM.B4.sandwichModel : [propext, Classical.choice, Quot.sound]
KSUM.B4.twoSum_nonconst : [propext, Classical.choice, Quot.sound]
KSUM.B4.sandwich_B4a : [propext, Classical.choice, Quot.sound]
KSUM.B4.sandwich_B4b : [propext, Classical.choice, Quot.sound]
KSUM.B4.sandwich_nonvacuous : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_corr_le_half : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.not_pureHighDegree_succ_of_moment_zero_ne_zero : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.exists_light_pair : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.isNegative_iff_twoSum_false : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.isNegative_iff : (none)
KsumAudit.Rosmanis.isNegative_act : [Quot.sound]
KsumAudit.Rosmanis.valueCount_act : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.not_same_orbit : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.not_single_orbit : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.valueCount_constStr : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.valueCount_oneOffStr : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.isNegative_constStr : (none)
KsumAudit.Rosmanis.isNegative_oneOffStr : [propext, Quot.sound]
KsumAudit.Rosmanis.two_orbits_aux : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.two_orbits_of_two_cycles : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.two_orbits_of_one_cycle : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.positive_blocks_empty : (none)
KsumAudit.Rosmanis.involutive_sub : [propext, Quot.sound]
KsumAudit.Rosmanis.twoSum_not_single_orbit : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.existence_fails_q3 : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.swapped_string_q3 : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.uniqueness_fails_q5 : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.q5_cycle_type : [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.witness_two_cycles_q5 : [propext, Quot.sound]
KsumAudit.Rosmanis.witness_one_cycle_q3 : [propext, Quot.sound]
