# `#print axioms` manifest - k-Sum Lean audit, gap-closure batch 2 (2026-08-01)
# Source: build.log of the same directory (clean rebuild of KSUM + KsumAudit).
# Records: 283

KSUM.B4.maxAlph : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B4.sandwichQ : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B4.sandwichModel : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B4.twoSum_nonconst : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B4.sandwich_B4a : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B4.sandwich_B4b : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B4.sandwich_nonvacuous : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_corr_le_half : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.not_pureHighDegree_succ_of_moment_zero_ne_zero : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.exists_light_pair : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.isNegative_iff_twoSum_false : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.isNegative_iff : does not depend on any axioms
KsumAudit.Rosmanis.isNegative_act : depends on axioms: [Quot.sound]
KsumAudit.Rosmanis.valueCount_act : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.not_same_orbit : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.not_single_orbit : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.valueCount_constStr : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.valueCount_oneOffStr : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.isNegative_constStr : does not depend on any axioms
KsumAudit.Rosmanis.isNegative_oneOffStr : depends on axioms: [propext, Quot.sound]
KsumAudit.Rosmanis.two_orbits_aux : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.two_orbits_of_two_cycles : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.two_orbits_of_one_cycle : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.positive_blocks_empty : does not depend on any axioms
KsumAudit.Rosmanis.involutive_sub : depends on axioms: [propext, Quot.sound]
KsumAudit.Rosmanis.twoSum_not_single_orbit : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.existence_fails_q3 : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.swapped_string_q3 : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.uniqueness_fails_q5 : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.q5_cycle_type : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Rosmanis.witness_two_cycles_q5 : depends on axioms: [propext, Quot.sound]
KsumAudit.Rosmanis.witness_one_cycle_q3 : depends on axioms: [propext, Quot.sound]

# --- summary ---
# depends on axioms: [propext, Classical.choice, Quot.sound]             x257
# depends on axioms: [propext, Quot.sound]                               x15
# does not depend on any axioms                                          x6
# depends on axioms: [propext]                                           x4
# depends on axioms: [Quot.sound]                                        x1
# OUTSIDE the three standard axioms: 0
